code,neuromusc,cvd,respiratory,renal,gi,hemato_immu,metabolic,congeni_genetic,malignancy,neonatal,tech_dep,transplant,ccc_flag
00WUXJZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00WUXMZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00WV4JZ,0,0,0,0,0,0,0,0,0,0,0,0,0
00WVX0Z,0,0,0,0,0,0,0,0,0,0,0,0,0
00XF0ZM,0,0,0,0,0,0,0,0,0,0,0,0,0
00XF0ZS,0,0,0,0,0,0,0,0,0,0,0,0,0
00XF4ZJ,0,0,0,0,0,0,0,0,0,0,0,0,0
00XF4ZP,0,0,0,0,0,0,0,0,0,0,0,0,0
00XG0ZN,0,0,0,0,0,0,0,0,0,0,0,0,0
00XG4ZG,0,0,0,0,0,0,0,0,0,0,0,0,0
00XG4ZH,0,0,0,0,0,0,0,0,0,0,0,0,0
00XG4ZN,0,0,0,0,0,0,0,0,0,0,0,0,0
00XH0ZF,0,0,0,0,0,0,0,0,0,0,0,0,0
00XH0ZH,0,0,0,0,0,0,0,0,0,0,0,0,0
00XH0ZL,0,0,0,0,0,0,0,0,0,0,0,0,0
00XH4ZG,0,0,0,0,0,0,0,0,0,0,0,0,0
00XH4ZN,0,0,0,0,0,0,0,0,0,0,0,0,0
00XH4ZQ,0,0,0,0,0,0,0,0,0,0,0,0,0
00XJ0ZF,0,0,0,0,0,0,0,0,0,0,0,0,0
00XJ0ZL,0,0,0,0,0,0,0,0,0,0,0,0,0
00XK0ZF,0,0,0,0,0,0,0,0,0,0,0,0,0
00XK0ZH,0,0,0,0,0,0,0,0,0,0,0,0,0
00XK0ZL,0,0,0,0,0,0,0,0,0,0,0,0,0
00XK4ZF,0,0,0,0,0,0,0,0,0,0,0,0,0
00XK4ZH,0,0,0,0,0,0,0,0,0,0,0,0,0
00XK4ZL,0,0,0,0,0,0,0,0,0,0,0,0,0
00XK4ZR,0,0,0,0,0,0,0,0,0,0,0,0,0
00XL0ZF,0,0,0,0,0,0,0,0,0,0,0,0,0
00XL0ZH,0,0,0,0,0,0,0,0,0,0,0,0,0
00XL0ZL,0,0,0,0,0,0,0,0,0,0,0,0,0
00XM4ZQ,0,0,0,0,0,0,0,0,0,0,0,0,0
00XN0ZP,0,0,0,0,0,0,0,0,0,0,0,0,0
00XN4ZJ,0,0,0,0,0,0,0,0,0,0,0,0,0
00XP0ZG,0,0,0,0,0,0,0,0,0,0,0,0,0
00XP0ZH,0,0,0,0,0,0,0,0,0,0,0,0,0
00XP0ZR,0,0,0,0,0,0,0,0,0,0,0,0,0
00XQ4ZG,0,0,0,0,0,0,0,0,0,0,0,0,0
00XQ4ZN,0,0,0,0,0,0,0,0,0,0,0,0,0
00XQ4ZQ,0,0,0,0,0,0,0,0,0,0,0,0,0
00XR0ZG,0,0,0,0,0,0,0,0,0,0,0,0,0
00XR0ZH,0,0,0,0,0,0,0,0,0,0,0,0,0
